index,Viscosity,T,3d,4d,5d,Optical alkalinity,CaO,Al2O3,SiO2,CaF2,MgO
101,12.5,1723,1,0,0,0.62,0.443,0.091,0.465,0,0
102,22.6,1723,1,0,0,0.598,0.398,0.125,0.477,0,0
103,41.0,1723,1,0,0,0.576,0.35,0.16,0.49,0,0
104,12.1,1723,1,0,0,0.619,0.434,0.06,0.506,0,0
105,21.9,1723,1,0,0,0.597,0.389,0.092,0.519,0,0
106,42.3,1723,1,0,0,0.576,0.342,0.125,0.532,0,0
107,22.3,1723,1,0,0,0.597,0.381,0.06,0.559,0,0
108,44.8,1723,1,0,0,0.577,0.335,0.092,0.573,0,0
109,25.0,1723,1,0,0,0.597,0.373,0.029,0.597,0,0
110,51.7,1723,1,0,0,0.577,0.328,0.06,0.612,0,0
111,13.6,1673,1,0,0,0.645,0.508,0.124,0.368,0,0
112,19.9,1673,1,0,0,0.622,0.463,0.159,0.378,0,0
113,31.7,1673,1,0,0,0.599,0.416,0.196,0.388,0,0
114,54.7,1673,1,0,0,0.576,0.366,0.235,0.399,0,0
115,8.33,1673,1,0,0,0.666,0.539,0.059,0.402,0,0
116,13.2,1673,1,0,0,0.643,0.497,0.091,0.412,0,0
117,21.5,1673,1,0,0,0.621,0.453,0.125,0.423,0,0
118,34.9,1673,1,0,0,0.598,0.407,0.16,0.434,0,0
119,69.4,1673,1,0,0,0.576,0.358,0.197,0.445,0,0
120,11.6,1673,1,0,0,0.641,0.487,0.059,0.454,0,0
121,19.4,1673,1,0,0,0.62,0.443,0.091,0.465,0,0
122,37.1,1673,1,0,0,0.598,0.398,0.125,0.477,0,0
123,70.1,1673,1,0,0,0.576,0.35,0.16,0.49,0,0
124,19.2,1673,1,0,0,0.619,0.434,0.06,0.506,0,0
125,34.7,1673,1,0,0,0.597,0.389,0.092,0.519,0,0
126,70.9,1673,1,0,0,0.576,0.342,0.125,0.532,0,0
127,35.7,1673,1,0,0,0.597,0.381,0.06,0.559,0,0
128,73.2,1673,1,0,0,0.577,0.335,0.092,0.573,0,0
129,39.4,1673,1,0,0,0.597,0.373,0.029,0.597,0,0
130,81.6,1673,1,0,0,0.577,0.328,0.06,0.612,0,0
170,8.54,1773,1,0,0,0.62,0.443,0.091,0.465,0,0
186,4.01,1773,1,0,0,0.666,0.539,0.059,0.402,0,0
191,5.16,1773,1,0,0,0.643,0.497,0.091,0.412,0,0
196,8.32,1773,1,0,0,0.621,0.453,0.125,0.423,0,0
236,12.6,1723,1,0,0,0.62,0.443,0.091,0.465,0,0
252,5.23,1723,1,0,0,0.666,0.539,0.059,0.402,0,0
257,8.22,1723,1,0,0,0.643,0.497,0.091,0.412,0,0
262,13.69,1723,1,0,0,0.621,0.453,0.125,0.423,0,0
278,19.4,1673,1,0,0,0.62,0.443,0.091,0.465,0,0
294,8.33,1673,1,0,0,0.666,0.539,0.059,0.402,0,0
299,13.23,1673,1,0,0,0.643,0.497,0.091,0.412,0,0
304,21.48,1673,1,0,0,0.621,0.453,0.125,0.423,0,0
320,33.1,1623,1,0,0,0.62,0.443,0.091,0.465,0,0
