,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41
0,3.21,1773,0.431,0.087,0.336,0,0.147,9.857686854892119,8.214553571843474,7.783553571843474,6.9897386954771825,6.451854742102644,6.182888360507743,6.261474278941021,6.168436909498951,6.242254766343992,6.310728742565874,6.360753977242671,5.585075542117439,5.666442488381437,5.741186840836772,5.810196427604672,5.874196977038891,5.901665755141332,5.849202151617061,5.909786191493798,5.7448901472923275,5.825014840372767,5.935577275489621,5.90723571206632,5.237616429951618,5.323258010271051,5.314599868553449,5.326617148015281,5.2594525872964795,5.271334125189593,5.271263790051966,5.199477642077731,5.200006490859565,5.199843409616063,5.287006490859564,5.171187106823295,5.170699498932729,5.188747781814588,4.871922264951445,4.859807768438837,5.010804604551741,5.014353063219474,5.0601746636716705
1,3.54,1773,0.419,0.106,0.326,0,0.149,9.857686854892119,7.9700728107767045,7.551072810776705,6.9897386954771825,6.387657714792505,6.097396510995873,6.174895808561894,6.254156531978713,6.329000197941017,6.398425722095956,6.44914613195147,5.576608538809047,5.65122974306074,5.720076561661112,5.783885856845944,5.843266216676691,5.876948838643814,5.891857175672533,5.94200333981994,5.794461025725155,5.874376387454365,5.99053297897655,5.959030956155756,5.2224970713413335,5.307922212428849,5.316292985040118,5.309526606281972,5.239605394743698,5.2503794477278,5.25029357447465,5.391342836582524,5.391893549741125,5.389266034750449,5.497893549741125,5.4042219889090095,5.40131406618214,5.425233516792997,5.596477814030981,5.584368716004362,5.7285476785343254,5.70268599273307,5.749430961308974
2,4.61,1773,0.441,0.115,0.343,0,0.102,9.857686854892119,8.385690104590214,7.944690104590214,6.9897386954771825,6.497176165215933,6.243964215725965,6.323326422181372,6.513130236268914,6.591073047786308,6.663373361702386,6.716194015188873,5.925566005736467,5.986194775814306,6.042828469897265,6.095902653252624,6.145787802084603,6.2001541316704145,6.25526589270345,6.290748239095833,6.111282719203496,6.184245671346464,6.294642807635496,6.280068189414871,5.32507156493809,5.411965097984602,5.426831282630168,5.422135819737875,5.4082098433586285,5.450863519169539,5.450299864763901,5.480757305481831,5.4809340814978835,5.482799745851539,5.595934081497884,5.506887123127491,5.504507305453734,5.5081344780188095,5.409461658857299,5.397259476798907,5.51656771936735,5.265356478506593,5.320419923372357
3,5.15,1773,0.385,0.106,0.36,0,0.149,9.857686854892119,8.801307398403722,8.416307398403722,6.9897386954771825,6.608572344772432,6.396659649102202,6.477962649272904,6.596361255071815,6.675300094516738,6.748524331119559,6.802019977527121,6.14190311258273,6.199324857271986,6.25316334390323,6.303788902550684,6.351519328438568,6.413563872030955,6.431833511701661,6.4659480188837115,6.341160950989669,6.410266226109139,6.513722018191087,6.5110210145947,5.532595014514035,5.622459322789119,5.626390928212819,5.641945795968693,5.664898716863151,5.726339859629427,5.725465623626494,5.647922216168814,5.648472929327417,5.6578280300331265,5.754472929327417,5.676168639445082,5.673946153287517,5.675426337669005,5.625618578970082,5.6135094809434625,5.723688443473426,5.615745420849935,5.640487781163967
4,3.92,1773,0.405,0.087,0.361,0,0.147,9.857686854892119,8.8257554745104,8.4207554745104,6.9897386954771825,6.61518422250508,6.405839335795668,6.487259011873757,6.411478299646635,6.488204639598266,6.559376545719419,6.611372814996504,5.992257133907164,6.060525078669197,6.123994385500174,6.183222438551332,6.238678042453621,6.286554768847269,6.22774857457385,6.277148655360437,6.138785533085114,6.211214643377494,6.313251534252293,6.304854216208847,5.4467852658792975,5.535421175743817,5.52376870448113,5.551727754952918,5.530838765480873,5.569850510277522,5.569500368816801,5.494980667189658,5.4955095159714915,5.501835813530066,5.582509515971491,5.484388651047308,5.483462724940001,5.496743312174904,5.3202399294662355,5.308125432953626,5.434122269066531,5.419262766134054,5.447187710527379
5,3.12,1773,0.408,0.068,0.364,0,0.16,9.857686854892119,8.89909970283043,8.49109970283043,6.9897386954771825,6.635059573292265,6.4335129328911345,6.515284346687471,6.254156531978713,6.329000197941017,6.398425722095956,6.44914613195147,5.884016742457087,5.962751409253878,6.035393379815436,6.102720135598821,6.1653738128267825,6.200913175183878,6.073224543233368,6.1375060911841075,5.99376839637103,6.0686251455644316,6.167107869638181,6.156430343119659,5.404588314766727,5.492620159609475,5.4647592782716075,5.5070627968721375,5.4584734693287285,5.483162348382567,5.483031708883368,5.397332173586662,5.398013966972417,5.4024180727168485,5.466013966972417,5.339538141290525,5.339184358831055,5.3857943680733245,5.101472252987666,5.089395418897228,5.229167067684913,5.3227734786111895,5.347372775476281
6,3.42,1773,0.423,0.087,0.343,0,0.147,9.857686854892119,8.385690104590214,7.962690104590214,6.9897386954771825,6.497176165215933,6.243964215725965,6.323326422181372,6.234938380270564,6.309552062074413,6.378764251265827,6.429328804368106,5.694839021543395,5.772521001462994,5.8441226112510565,5.910428476748336,5.9720851510526485,6.005070441382738,5.9513974009001505,6.009001114442637,5.851930772678519,5.929976246626811,6.038269340422574,6.015235012362368,5.2688471936927925,5.354935853990327,5.345830632294623,5.361147786940069,5.304934747537713,5.323395824296144,5.323272163278153,5.249646225746282,5.250175074528116,5.250870979118854,5.3371750745281155,5.224360430076315,5.223805803750906,5.2411517763726545,4.927418895307001,4.915304398794393,5.059301234907297,5.09241145040815,5.132133359777357
7,3.48,1773,0.351,0.104,0.327,0,0.219,9.857686854892119,7.9945208868833815,7.6435208868833815,6.9897386954771825,6.39404856740103,6.10585402311378,6.183460817583949,6.244535258389501,6.31926378630194,6.388582507571701,6.439224890128523,5.576597212508904,5.651940575836573,5.721420150581954,5.785788410869161,5.8456661272838035,5.878658203961855,5.886328054765787,5.937557875681968,5.8575952991571025,5.937553595989428,6.053180139332237,6.021926854487411,5.223642566234268,5.309084105506468,5.315668745712321,5.310837589769873,5.241303259040093,5.252225997858439,5.252141371874901,5.260061627843999,5.261808011164614,5.258680900567134,5.365808011164614,5.264929455284085,5.262775789187174,5.282093472041518,5.368942249027163,5.3571220924081695,5.501781847751238,5.480800140825899,5.500499167819108
8,3.66,1773,0.414,0.087,0.352,0,0.147,9.857686854892119,8.605722789550306,8.191722789550306,6.9897386954771825,6.555914677523839,6.324019693574227,6.404399423375601,6.3221950130226965,6.397852897388682,6.468033696405232,6.5193058896430225,5.8407463238528665,5.913706637246201,5.98124795056495,6.044034595576262,6.102619659021687,6.142923812320726,6.087073274470005,6.140677252936636,5.992730431855334,6.068015311072495,6.173256076564002,6.157359271303112,5.338007950541897,5.425086672751259,5.414991389143728,5.436036936890858,5.396650235504964,5.425017995283966,5.424797434358167,5.351502626113245,5.352031474895076,5.354774887128258,5.439031474895078,5.332317300812067,5.331603292845713,5.347590847674803,5.094308626699982,5.082194130187374,5.2171909663002785,5.235087639270068,5.268475224168034
9,3.81,1773,0.421,0.083,0.357,0,0.139,9.857686854892119,8.727963170083692,8.306963170083693,6.9897386954771825,6.58877633659738,6.369254180329997,6.450208850754473,6.332014241645476,6.407789632994743,6.478079432336189,6.529431258262682,5.890809423268064,5.963661105533362,6.031134158849056,6.0938841141766975,6.152457352424827,6.193825722114972,6.121799415850738,6.176443605281012,6.021539328294567,6.095967283608309,6.198997216415323,6.186143185226199,5.37853689043644,5.4661957994677035,5.451980860596809,5.479363209610648,5.443264274061681,5.47381048609587,5.473580301656904,5.4065484182643715,5.406995589222863,5.411093900301566,5.489995589222863,5.383805673610247,5.383136964260981,5.402030418004659,5.161734912956085,5.149600204777603,5.2831567209978445,5.29013317907857,5.3245374108772605
10,4.22,1773,0.432,0.098,0.349,0,0.121,9.857686854892119,8.532378561230274,8.100378561230274,6.9897386954771825,6.536276405627813,6.297140868992612,6.377178962815299,6.401456047718141,6.478062451100918,6.549123103196083,6.601038093291412,5.882177379395379,5.949894672972033,6.012822143020774,6.071519572381463,6.126457252176958,6.172748523937585,6.158850643872744,6.204871064385104,6.038641756330612,6.112886254625047,6.220240441918334,6.204997150020917,5.339274510189272,5.426371363670228,5.425991487005129,5.437395888156228,5.409258474490276,5.443740641321959,5.443400912666849,5.408282035447247,5.40857707954404,5.411475576246129,5.506577079544039,5.410654385353261,5.409490479439466,5.413428819042616,5.220893670593544,5.208721116013808,5.337042471979815,5.239275863541925,5.284324878226179
11,5.12,1773,0.459,0.108,0.357,0,0.076,9.857686854892119,8.727963170083692,8.268963170083692,6.9897386954771825,6.58877633659738,6.369254180329997,6.450208850754473,6.585862865049972,6.6646760699681735,6.737783767078208,6.791194272884952,6.106601073333077,6.164352604809022,6.21847517643199,6.26934641005804,6.317290001018838,6.378277007844233,6.405233540932733,6.439265535276543,6.24010540342478,6.309819087458429,6.414519486665763,6.409844580490853,5.489654563755574,5.578904163535412,5.5852202116750895,5.596890269854889,5.615553048700514,5.674837546670629,5.673995825007683,5.677059844850211,5.677132986390404,5.685274250926829,5.785132986390405,5.70661659642589,5.704353055126292,5.704427455160501,5.645025530849862,5.632797209065585,5.744325661132475,5.461913975714362,5.521462338129858
12,2.6,1773,0.362,0.085,0.338,0,0.216,9.857686854892119,8.263449724056828,7.901449724056828,6.9897386954771825,6.464771363903109,6.200233875100754,6.279040258972759,6.168436909498951,6.242254766343992,6.310728742565874,6.360753977242671,5.600743948802194,5.6823391624182,5.757293203158469,5.826496389862929,5.890676486848299,5.918222326036698,5.8586557491481015,5.919989387428936,5.823375540549701,5.90323857321653,6.01286170749884,5.985610032433886,5.243009493064148,5.328728277084338,5.318223197445247,5.332635624217405,5.266829204294448,5.279521245652784,5.279447576819059,5.133662282496529,5.135337984638072,5.1342040902125206,5.220337984638073,5.0961217561923196,5.095680000175793,5.123206584358697,4.781545301174823,4.76970836275169,4.92019737499585,5.077798346898202,5.09566956305382
13,4.1,1773,0.378,0.119,0.353,0,0.15,9.857686854892119,8.630170865656982,8.252170865656982,6.9897386954771825,6.562473871251627,6.333022771127917,6.413516932094311,6.659927218809109,6.739626753918139,6.813556617303455,6.867567775549763,6.135014145371736,6.188478007688766,6.23874462528546,6.286130892643671,6.330910546143527,6.3970685235391125,6.4726127359173615,6.499997551678578,6.3750584448815655,6.443899052385597,6.550183554734573,6.546375574803338,5.478727751158901,5.567820929559586,5.584026937292441,5.585397354809432,5.621431961730162,5.689830840090751,5.68867288938309,5.637705249872516,5.638267117398918,5.644964767149819,5.757267117398918,5.681756678484648,5.678404790464601,5.684298836849341,5.667245401341581,5.655139055517339,5.760811993410169,5.6075770177161814,5.633443232307396
14,6.5,1773,0.396,0.156,0.37,0,0.079,9.857686854892119,9.045788159470492,8.649788159470491,6.9897386954771825,6.6749896010252066,6.489471694435584,6.571954356828684,7.279493789619052,7.36660769519195,7.447415182075722,7.506450945997246,6.8364907137237525,6.864337239401305,6.891140352862895,6.916965226068201,6.9418713873181686,7.053198120132374,7.33990018508684,7.330701679664154,7.099424598287335,7.1539755087389185,7.2474614041744045,7.282799125174537,6.44350049266118,6.546404751050721,6.581539761878258,6.575946695236052,6.899452462789357,7.0918292086013555,7.08302107293191,6.928249633193255,6.928331780721596,6.974421821702942,7.084331780721596,7.0653281010528435,7.047806555576891,7.178862041171754,7.4122747477520745,7.400048705342697,7.456101256737124,7.075966080976567,7.110398020953954
15,5.6,1773,0.332,0.152,0.362,0,0.154,9.857686854892119,8.850203550617076,8.518203550617075,6.9897386954771825,6.621802715422503,6.415041400089679,6.496578036499551,7.134034140257342,7.219407326142117,7.298600108892934,7.356456213655731,6.629204393128893,6.661936415841122,6.6932864363764875,6.723351611045218,6.752219644303997,6.852809499196579,7.107536923414486,7.105761924989604,6.961898899796402,7.0203279968542995,7.118853185665707,7.1423327211576,6.024300216911852,6.121203467716221,6.158800017687467,6.149829269827148,6.3933087570796925,6.557084059363147,6.551032922627362,6.427308717286355,6.427916706551361,6.453228921134823,6.57991670655136,6.551156446432765,6.5375074814927565,6.628593454859678,6.809331199170857,6.797236219928689,6.864697176597372,6.604788690055967,6.621717001829208
