,Viscosity,T,CaO,Al2O3,CaF2,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38
0,0.6,1873,0.115,0.235,0.65,1.246218524753825,1.2649087687328917,0.36153846153846153,0.3582199777114104,0.3582199777114104,0.3824238895650225,0.387943055520096,0.42518560726007126,0.459624969597337,0.662568055520096,0.6295173687175263,0.584410592682601,0.568303498754165,0.579869569668676,0.6052602797997967,0.6040123888559332,0.6036701649941563,0.5153244346671703,0.6281587801512075,0.49293168191631304,0.497153889938181,0.5318320097920374,0.5295737309234433,0.5323449699693656,0.5110173854345106,0.5407476445379928,0.5387145372209975,0.5292819397798864,0.5168836499533953,0.5293022764089729,0.5297388303464347,0.6574755805695919,0.6723058985219978,0.663555315282951,0.6631803975078222,0.6609558689688925,0.6382309154956377,0.6474228327281473,0.6525535421116399
1,0.65,1873,0.128,0.311,0.561,1.246218524753825,1.3647892211861614,0.5543672014260249,0.545473827674334,0.545473827674334,0.44309363318585493,0.45473259552239287,0.48645976283654746,0.5164345711399159,0.6312910765223929,0.5978559727298476,0.5693202185802165,0.5457077911657835,0.6487350711065115,0.6114852262909999,0.6073103428169228,0.6075975606907829,0.662994016517939,0.6066370238303117,0.6286309708409326,0.6372097863367799,0.668706306514992,0.6637977254319012,0.6697328066810192,0.6330904031573543,0.6577037874571318,0.6772408194509941,0.6615385158733122,0.6519780603802795,0.662064043324891,0.6629518375033057,0.629910553115441,0.6371265422444591,0.6340363604220044,0.6337644845130985,0.6321941415087664,0.6154568767120266,0.6156979967720628,0.6163472811944739
2,0.7,1873,0.202,0.398,0.4,1.246218524753825,1.4888440299072776,0.995,0.968938606780752,0.968938606780752,0.6214388205431616,0.6152824652201561,0.6374904671155763,0.6590896013833829,0.679282465220156,0.662852953263823,0.6548133375897964,0.6279053410089019,0.7694294409293017,0.7581504630862239,0.7436316559199532,0.7446484978575381,0.7675450686456106,0.7064283391569821,0.7530147091117925,0.7573404331502543,0.7737627736778085,0.7568773496737935,0.7671254588173035,0.7090047664262525,0.7162275567797155,0.7625668444257364,0.7499169366956613,0.766258187672337,0.746511368547025,0.7506278346220407,0.6415042367607837,0.638042411206041,0.6369784127583067,0.6371714520125276,0.638526849892362,0.6425200304866443,0.6758102031354907,0.671892117113426
3,0.5,1873,0.284,0.216,0.5,1.246218524753825,1.2411023790006717,0.432,0.428648595716909,0.428648595716909,0.4971510564345293,0.36982597217612484,0.3978847970423836,0.4247243944910833,0.49482597217612484,0.5708718052917475,0.5513719114611975,0.5250843050166895,0.4861425654702672,0.5060559758743979,0.5048783521199224,0.5049149637801893,0.5242499156106664,0.534524493137327,0.5254268875800663,0.5334769384164867,0.5543405260414209,0.548351230061925,0.5551053477446595,0.5253351331785697,0.5436363310665968,0.5653975587182132,0.5340546047831635,0.525409699062923,0.5246481102943719,0.5268206624602559,0.46613896051283915,0.47014871193360547,0.4692617649051581,0.4690465584060041,0.46782534517286595,0.4562509404086626,0.45811101140146376,0.4646756953645322
4,0.5,1873,0.451,0.3,0.249,1.246218524753825,1.3498588075760032,1.2048192771084336,1.186828139202167,1.186828139202167,0.9982952940452395,0.861903558586596,0.8755692285840047,0.8890921047475948,0.877341807586596,0.8240229466934973,0.8283660722318833,0.807593839155083,0.804366085012311,0.727583439315737,0.7193677306633497,0.7224143346466395,0.7637792014969172,0.7304670196191416,0.8008162359556914,0.8203221465841966,0.8254459276082405,0.799306773518193,0.822738535853343,0.8491913433278165,0.8503159749794349,0.839567459316934,0.8149450960275655,0.8326388799421593,0.7929842402709497,0.8016320744138602,0.841717670007048,0.836712602874593,0.811094447100333,0.8126704478644688,0.8227832524106408,0.8160388235616369,0.8275104679542937,0.824281929979298
5,0.53,1873,0.503,0.219,0.278,1.246218524753825,1.2448312766875311,0.7877697841726617,0.7814878297819634,0.7814878297819634,0.8941565763210958,0.6729459931225265,0.6882306554175649,0.7033157069337025,0.6944309451225265,0.6581784366507063,0.6603222881689144,0.6378339921919185,0.5964044811055287,0.4931049254733845,0.490872978718506,0.4924698667125969,0.5513344880227212,0.5224675087544671,0.5505739047373687,0.5500166315725691,0.5554186053476359,0.5352920450115746,0.5427728482356862,0.529066738280621,0.5333620186774066,0.5404699213028678,0.5238936829630645,0.5390185279309201,0.5128127474418553,0.5227024303474221,0.6109677241167359,0.6068862265676864,0.595325869427321,0.5961114793232557,0.6012050191952623,0.5793073582074489,0.5742313308977164,0.566960122733698
6,0.4,1873,0.48,0.135,0.385,1.246218524753825,1.1445367843513146,0.35064935064935066,0.34958522339570985,0.34958522339570985,0.6456507226422458,0.36912463918977245,0.3904700647660052,0.4112743874680175,0.42619126418977243,0.5242824864805015,0.517667562116634,0.491024633132098,0.37479984390630566,0.3931881143588552,0.39292692861930917,0.3929796727740909,0.38269176187990167,0.4350535843678776,0.4010577485830628,0.4020138373310819,0.4111148804881224,0.40114712758398435,0.4059414307903944,0.38006966336120424,0.38858782824359156,0.4077688734051241,0.3782176252733028,0.38144188695257225,0.384528949501813,0.38890928093695476,0.3693385467276014,0.3685126794785248,0.3683362027184088,0.3683508305109246,0.3685528730051915,0.36619739754140485,0.41664042794502826,0.43578613025523133
7,1.35,1873,0.314,0.446,0.239,1.246218524753825,1.562051466533744,1.8661087866108788,1.8048547095688188,1.8048547095688188,1.0400649716203543,1.0538367618747382,1.0669461019245066,1.0799293510542398,1.0674886808747384,1.0757985100606149,1.080916749870593,1.0607855116800582,1.1257731808516263,1.2856454815065832,1.2493602631805811,1.2497876492747766,1.12117200896172,1.2002288625123347,1.1073341587365328,1.1464069881438856,1.1508571670874896,1.116898522601861,1.1528950353312188,1.2034117486246776,1.1922308326679905,1.1702897996980555,1.165539208616753,1.204737768295075,1.1378892140828907,1.1454751403867018,1.1351877107373316,1.129087854232097,1.0878985435695903,1.0904202923956314,1.1063755965594195,1.1723214644709985,1.086511548222706,1.0829380443751238
8,0.6,1873,0.363,0.293,0.344,1.246218524753825,1.3404427904316814,0.8517441860465117,0.8396094931256692,0.8396094931256692,0.7226032797013507,0.587328447930414,0.606333491003746,0.6249558197642832,0.628036031930414,0.6486526707526654,0.6456325829496068,0.6201360474217708,0.6455677217522632,0.5915782282112478,0.5861374852987804,0.5877442031379115,0.6313909614916422,0.5959468094968785,0.5940694354349441,0.5895592174304851,0.5989127521555327,0.5801423205169157,0.5831944720582378,0.5413784708986755,0.5471627011550952,0.5736898419750538,0.5600612441368426,0.5771857688281338,0.5437262685548114,0.550419344011991,0.5656402254608561,0.5617645304201802,0.5581399603787436,0.5584956797675764,0.5608658120038188,0.5587195353639756,0.5788510763639689,0.5669453144189618
9,0.5,1873,0.413,0.273,0.314,1.246218524753825,1.3139002448247392,0.8694267515923567,0.8586673399694167,0.8586673399694167,0.791641809609123,0.6281241595161222,0.6454314687613869,0.6624493621979175,0.6590833035161223,0.6656146907884066,0.6650065353857482,0.6407116366831045,0.6434967437560473,0.5730217516490173,0.5684588648848414,0.5702442907300667,0.6150519850537397,0.585498009311259,0.5691760548028395,0.562774338446086,0.5699873503939292,0.5497113168269895,0.5513699835119097,0.5163844789963069,0.5208961006970485,0.5395647760272003,0.5303455685188525,0.5498260638498554,0.5334777983165783,0.5398610551227454,0.5908929116698094,0.5865748915422342,0.5799046903033476,0.5804458378987232,0.5839873303517211,0.5774318526394484,0.5946842171000893,0.5819075114737744
