,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41,result_42,result_43,result_44,result_45,result_46,result_47,result_48,result_49,result_50,result_51,result_52,result_53,result_54,result_55,result_56,result_57,result_58,result_59,result_60,result_61,result_62,result_63
0,1.15,1773,0.603,0.179,0.054,0.083,0.081,1.8276688826259555,1.8275933645319702,1.0237776293359433,2.2509716068734065,2.2971842623516667,2.4665261850865097,2.087258526124722,2.329493108317819,1.3839088893630238,1.9637090769376433,1.644293959947315,1.5623743308728697,1.725710867667148,1.540831857391168,1.4544007409826736,1.4185048319885039,1.503833010685704,1.5578330106857041,1.3921640232775168,1.4112212033439033,1.427251736483568,1.4055371646407488,1.360153788512626,1.3850442429915257,1.3859854295802392,1.3520188368501245,1.3744051812919393,1.3635893107752537,1.3637972784435444,1.3734651947645562,1.3634957579357598,1.3345893107752536,1.324509711034787,1.332598787632757,1.3327402851660348,1.3326557438159303,1.3366317030691839,1.2808751843393065,1.2730107628073783,1.2895617676489572,1.2952622186128577,1.272416481427196,1.2586838461903809,1.293367013580974,1.2967830113602048,1.1684731522938618,1.179496097116567,1.1814225215386527,1.1711082774345811,1.170722813850383,1.138175850625999,1.1377846116871342,1.1376126572247394,1.1355433537698358,1.1371362136831964,1.1371145117457662,1.1363252512448305,1.136666350682748,1.1981698058522225,1.199051081784346,1.193411241328775,1.1822704286157673,1.18048810689326,1.1858242742690668
1,1.97,1773,0.46,0.147,0.22,0.024,0.149,1.8276688826259555,1.5840739849944818,1.8832452687784635,2.2509716068734065,2.2971842623516667,2.137871606961,1.5506096295368434,2.767952018622184,3.28225129101635,2.775961250889006,1.4809665145496818,1.397248336282685,1.570422117080708,1.6464818669414127,1.4611827455672526,1.4185048319885039,1.503833010685704,1.723833010685704,1.7837398503946766,1.8112751364991768,1.8070178829600654,1.8964933706907574,1.9289687687402823,1.890502170436212,2.142575791566648,2.1428537037755233,2.1453993050757765,2.061705833965527,2.0616368818833046,2.0783752757661866,2.078712111553553,2.2577058339655274,2.2577119581955465,2.1378084723926953,2.1378022814541944,2.137904485956164,2.4375437954814103,2.2009863663304223,2.1855348087627675,2.2941841240899703,2.2934384266092973,2.2591676800388973,2.298238981572568,2.25013015844803,2.3054927525156272,2.307986926313223,2.307578423426072,2.327597079615966,2.3022186140128946,2.3078739542582225,2.2847565944778827,2.256063836340656,2.2573246449157667,2.270525252789293,2.260940530405561,2.257589385082966,2.2565885436463295,2.264421497522873,2.374371699344361,2.2977292338416198,2.285879533019197,2.268548162876388,2.2647518387989494,2.231588079550763
2,1.7,1773,0.638,0.146,0.075,0.03,0.111,1.8276688826259555,1.8926917079807226,1.4029545290899965,2.2509716068734065,2.2971842623516667,2.554383129545937,2.2814113446408935,2.5045210436418373,2.9427164324993003,2.065728029404734,1.9355495292427491,1.9037152430173243,1.8603131191339044,1.6171714214607193,1.4185557390664856,1.4185048319885039,1.503833010685704,1.578833010685704,1.6608447295293223,1.685371446364402,1.6837953729847386,1.6683526669282265,1.6430782794199699,1.6345969552778745,1.2069497362354047,1.2038513429654325,1.2052102470501787,1.2032762346590749,1.2033213954221376,1.2124931740757974,1.2123285545444065,1.248276234659075,1.247931847456999,1.2572403139819919,1.2572554638375988,1.2572934000847735,1.2033939918683183,1.3045885224008726,1.296357718760956,1.2578778949546123,1.259429664721671,1.2408733684177577,1.2113051573964815,1.2563848655549026,1.2772836166889059,1.133767162285654,1.137931995588488,1.1123367312547003,1.1169738429654823,1.1165171178176783,1.1724601965406514,1.1770925802490435,1.1757690884034833,1.1631832885612203,1.2054230478275476,1.2053533487359458,1.2048396196154343,1.2009959836045738,1.1121097870811516,1.1270038124222888,1.1206433979516857,1.0949134384847405,1.094218314492618,1.1303678215475848
3,1.09,1773,0.604,0.15,0.085,0.082,0.079,1.8276688826259555,1.8294218719978594,0.9984991693523398,2.2509716068734065,2.2971842623516667,2.4689939449458795,2.092374208516368,2.3186903618811687,1.3656475313896208,2.382096497392981,1.673220722018327,1.5904551751408482,1.7336082091952,1.5388905969395192,1.4633973702256446,1.4185048346398423,1.5038330241329005,1.5888330241329005,1.363881716645003,1.3829117748272535,1.3881568530542456,1.3863039117566038,1.3649049054573992,1.3567055289463212,1.3432234540805488,1.3107482527788044,1.3321425504135604,1.3298882277064141,1.3300989386398165,1.3401192493412477,1.3302054619279895,1.3328882277064142,1.3228601798206567,1.2968749684409369,1.2970157419733834,1.2969339047249977,1.3142002443671814,1.2081616329364862,1.2004300553588136,1.2161331837491516,1.2215224642858837,1.1992869592970694,1.20519951182499,1.2193569721791877,1.2138494696386959,1.3544909378832033,1.3640517790703888,1.284702348141822,1.2608228874486767,1.260805751394106,1.3249002147409021,1.3242788535799617,1.3229098384986466,1.310411116629598,1.3202036253386158,1.3200877441400478,1.3194514341055925,1.3164739443201903,1.3163875246364958,1.319413801481805,1.3122883025346408,1.3060470662415176,1.2992863563106878,1.330907469069549
4,1.81,1773,0.578,0.145,0.098,0.033,0.146,1.8276688826259555,1.7824699235852404,1.8453275788030583,2.2509716068734065,2.2971842623516667,2.4056274365923027,1.9667817849833176,2.7451566330901955,3.075833693679254,1.349752779586587,2.47088313300558,2.7062674401914686,2.1108011929998134,1.9409438309967804,1.4336208945327942,1.6190191016107858,1.5315401105479325,1.6295401105479326,1.7530079270108283,1.779978138792999,1.7756336646996913,1.7903744050206565,1.775400059145323,1.7623165398839546,2.157229642411646,2.121168984577425,2.156800846594669,2.078099657797852,2.0781350506049048,2.094974171401896,2.08439630336905,2.143099657797852,2.1322833519961018,2.1416030140182105,2.141631204519987,2.1417002009666075,2.066519721819897,2.3117552861138524,2.2951145352889717,2.23664773729992,2.239206153185354,2.2019825972864955,2.1775828194889195,2.224879386302646,2.2344048190308765,1.9371991754040712,1.9370768114869499,1.899611929669987,1.8755236230435377,1.8781616964102672,1.9772249819703118,1.985157753124123,1.9831862160909863,1.9676211733955946,2.0272467888739345,2.0269578761833964,2.0260226561523194,2.020904967835706,1.8953413008762,1.9174410950586058,1.9072113418256755,1.8630168920132628,1.8692240083986178,1.919447164143811
5,0.79,1773,0.538,0.167,0.087,0.126,0.081,1.8276688826259555,1.7125782781873475,1.0237776293359433,2.2509716068734065,2.2971842623516667,2.3113014356129593,1.8005314650762985,2.329493108317819,0.8138719996859815,1.6952037813518588,1.6376079571596618,1.2809080274385602,1.60757394682703,1.5406057594997487,1.4185378583512644,1.4185394281747747,1.5039245856601302,1.5909245856601302,1.2035688707400676,1.2198519777576466,1.233921833046564,1.2579273492491958,1.23451733669086,1.2435406543818683,1.4217194201827092,1.4155910140836403,1.4072136591162532,1.397822318941371,1.3981841145748226,1.4082531935269862,1.4072219226961955,1.358822318941371,1.3575947735404585,1.3222109370670472,1.3223516553297112,1.3222710653833303,1.4123463667110756,1.3800157437401546,1.3710602894779096,1.4013889609334926,1.4026164186523167,1.381676088391488,1.3802631878160005,1.385099884152727,1.3947063174527181,1.250611000987052,1.261424421370245,1.244568223432489,1.2520712290416225,1.2519713669842514,1.2430925730532119,1.2349166180889914,1.234917691871644,1.2346541145002021,1.2346561225395516,1.2345467720003152,1.2337741944206313,1.2346587377291207,1.2498586589076146,1.243602372852616,1.2376923584956017,1.2232409362674668,1.223171144221725,1.2233226928250844
6,1.11,1773,0.581,0.179,0.076,0.083,0.081,1.8276688826259555,1.7878253624977862,1.0237776293359433,2.2509716068734065,2.2971842623516667,2.4128551550589914,1.9805157462635132,2.329493108317819,1.3839088893630238,1.9637090769376433,1.644293959947315,1.5623743308728697,1.7036138072929456,1.540831857391168,1.4544007409826736,1.4185048319885039,1.503833010685704,1.5798330106857041,1.3921640232775168,1.4112212033439033,1.427251736483568,1.4174609751329217,1.3872580857194585,1.4002122285522973,1.4997319640408513,1.4650899406495312,1.4810373177877183,1.4636547625352319,1.4638649279003413,1.4743648890623742,1.4643041794791694,1.4566547625352317,1.4464682539536415,1.4302153317682749,1.430358324609248,1.430277099193748,1.4416026652845235,1.3834983650624584,1.374852483701146,1.3937593065683846,1.3995548963736617,1.3748986453901053,1.3609350715349535,1.396196765342248,1.3992675237773868,1.2684449249331629,1.280498763344746,1.2818069368232263,1.2705998884392706,1.2705176963360596,1.237860428409266,1.2354836234378963,1.2353065147378202,1.2334265249911427,1.2339060949252583,1.2338397838902149,1.2329745977129585,1.2334514717814253,1.2985922311391784,1.298006647191026,1.2921233194462665,1.2796515212960973,1.2778303937806128,1.2832821208020917
7,1.21,1773,0.575,0.177,0.086,0.083,0.08,1.8276688826259555,1.7771305269140383,1.0111383993441416,2.2509716068734065,2.2971842623516667,2.3984213687887808,1.953235647030469,2.324079181880444,1.366295935681339,1.9637090769376433,1.644293959947315,1.5623743308728697,1.6977526413404065,1.5392917956929644,1.4544007409826736,1.4185052705408578,1.5038346087994283,1.5898346087994284,1.3883922508450868,1.4074024304433355,1.4226649543285903,1.417730130416054,1.3938880756104588,1.4007149879684042,1.5261616297892855,1.4915540368409737,1.5053019303551207,1.4874947847468205,1.487705051361116,1.4984503558586806,1.4883899654245478,1.4904947847468204,1.480303999470511,1.4523363060587227,1.452478651024625,1.452399484014397,1.4668159782773043,1.4022697829348574,1.3934555482199016,1.4130236526018587,1.4187305872394893,1.393790984164594,1.3814211028157786,1.4147744846701171,1.4173548162084577,1.2938878677425827,1.306003586552551,1.302744216831759,1.2909024887967893,1.290895597329185,1.2514343677023916,1.2483291180166067,1.2482232970193343,1.2470074679526262,1.2470896364375619,1.2469920084987185,1.2461419409630539,1.2468235705293509,1.3155886515739088,1.314557248417906,1.3086187874658253,1.2952731735932252,1.2941924846054311,1.297468756717975
8,1.19,1773,0.57,0.179,0.087,0.084,0.081,1.8276688826259555,1.768267051433735,1.0237776293359433,2.2509716068734065,2.2971842623516667,2.386459192307232,1.9310683162138549,2.329493108317819,1.3669286265409233,1.670742174085596,1.617420254774521,1.5377509758448498,1.6873690013347076,1.5400014786589955,1.4470077768166314,1.4185394281747747,1.5039245856601302,1.5909245856601302,1.3879816118530728,1.4069730918442032,1.423069325059124,1.4195148217396776,1.3960021122427515,1.4040334361024325,1.5609608606745713,1.5248344431491287,1.5382392694300888,1.5171600149491866,1.5173754656951348,1.5283162130902224,1.5178006206102945,1.5201600149491865,1.509513686318723,1.4814111470260416,1.4815588452354544,1.48147548703505,1.498054377263549,1.436320561576296,1.4272661831045652,1.4481981399432304,1.4541299863208748,1.4284277248290629,1.4154848216916192,1.4499672359031561,1.4525119507951563,1.3233631686592784,1.3359893515017243,1.3372311397711203,1.3243465303986106,1.3244443022676589,1.2918696409911032,1.2881851683305356,1.2880048590113213,1.2862233081419605,1.2861459247404687,1.2860416969084285,1.2851350696972534,1.2856969003153482,1.3538756983135274,1.3522215685371437,1.346163804955233,1.3330722031894098,1.3312183153752406,1.3367190656915642
9,1.61,1773,0.612,0.191,0.076,0.042,0.08,1.8276688826259555,1.8441159448971343,1.0111383993441416,2.2509716068734065,2.2971842623516667,2.488825115421218,2.1341713035323777,2.324079181880444,2.2809759090396993,1.409724847506552,3.2590397979048857,3.6446635852038036,3.8558620905069727,3.4555334709708045,2.792110793423671,1.4185048319885039,1.503833010685704,1.5798330106857041,1.5828611409217843,1.6047033891665523,1.6230588962693124,1.5871630062597515,1.556875364381038,1.5694807983362113,1.5548349376505293,1.5296552365589788,1.5329928682040783,1.5073134957089873,1.5073626167986467,1.5181072497547223,1.5114876160552604,1.5413134957089873,1.5345364838690663,1.5136200240308955,1.5136567379076329,1.5136823032083173,1.5169319529280867,1.5649664928712372,1.5557748340771451,1.5290940501515884,1.532206219414769,1.5098123836699395,1.4578620384259473,1.5322267836581025,1.568014818506385,1.3051415704812692,1.3185991960202998,1.3258785461795886,1.3226983115724464,1.3227456370372401,1.4174763926833271,1.4176590559669102,1.4165738569509905,1.4069165053268322,1.417010430149067,1.416938332823517,1.415795735902975,1.4139784628775205,1.4071490790021768,1.4165222145860004,1.4101601096255643,1.3892702041850253,1.3783400797621013,1.4178541686326267
